pair_id,cosine_score,manhattan_distance,euclidean_distance,dot_product
10556983_1139124,0.9262575,-115.5063,-5.22176,170.81287
4727490_14604981,0.9291414,-129.8505,-5.881966,213.07939
9505322_3783578,0.869385,-161.20633,-7.317151,172.37361
12870692_8125161,0.8788976,-172.50368,-7.7756824,192.02353
16483710_4907487,0.96558535,-83.946396,-3.7774909,200.04205
4269319_8224507,0.9970976,-23.985199,-1.0989318,206.8424
3274000_12835731,0.8693797,-173.35403,-7.9134383,208.3794
3274000_14256128,0.9961136,-29.987734,-1.3806007,232.95303
21274_12835731,0.8662318,-175.03754,-7.9392285,203.62122
14408595_3867272,0.9571921,-90.792206,-4.108487,188.61658
16357275_10509279,0.9306256,-113.03521,-5.1926727,172.4968
8446583_13329582,0.8747878,-149.76352,-6.7303624,148.86172
6108152_16357275,0.81209457,-185.99435,-8.379785,147.77092
16848974_4665397,0.6381942,-264.26138,-12.006508,126.11598
5716579_4665397,0.9170626,-130.30244,-5.8558955,187.57285
692722_16102810,0.9715067,-89.01413,-3.9569407,266.90982
10087278_10517333,0.9976769,-23.851208,-1.0803367,248.88089
5798661_8276112,0.96582305,-84.88015,-3.866737,206.41672
5798661_14598887,0.9518074,-101.47542,-4.617545,205.3414
5798661_9097895,0.9718695,-78.93312,-3.6029806,211.51054
16255840_14556148,0.9765882,-82.05768,-3.7269921,287.70023
15178390_12132568,0.9817268,-65.20555,-2.9433007,232.37407
15362874_12132568,0.97391176,-78.17631,-3.5166783,230.5877
9371535_8882858,0.9971031,-25.605015,-1.1768869,234.64691
14114809_2770389,0.7368989,-218.85945,-9.877302,135.51682
2878699_5379866,0.9344002,-117.53939,-5.407075,205.99632
1006522_5379866,0.94370776,-108.64907,-5.023877,208.5731
758702_5379866,0.71673584,-233.2311,-10.549757,138.70105
12986488_17382182,0.9453049,-107.09128,-4.8378177,202.25128
10721741_3765158,0.70476013,-233.39984,-10.504809,129.45816
3765158_6649270,0.82980156,-166.97083,-7.534903,138.39362
14148871_3108565,0.9632514,-89.60388,-4.060251,200.6716
14148871_7039592,0.9522671,-95.78,-4.345159,187.60657
16489038_9805670,0.97469676,-73.821365,-3.3777697,219.6973
674055_11482981,0.9880564,-44.153812,-2.0495763,172.23457
11892325_11482981,0.971931,-68.692856,-3.116057,167.9975
674055_11892325,0.987894,-45.412674,-2.063696,173.25735
11152892_17557444,0.93232214,-117.85758,-5.279617,191.97905
2544761_9228061,0.91545206,-121.225136,-5.5326667,165.19965
2020131_2544761,0.9951148,-28.859587,-1.3127751,175.5246
2544761_7511172,0.9582346,-83.29535,-3.8055003,165.01889
16978067_11443061,0.9471013,-108.47203,-4.9206886,212.8676
11443061_9498225,0.99675876,-26.94141,-1.2331327,232.9595
3831720_17380599,0.95617414,-95.88527,-4.323575,203.8776
14905070_6461181,0.8468974,-181.07318,-8.068005,179.94188
1659205_5021059,0.95800614,-95.32832,-4.2433925,204.22258
9589571_4670169,0.97478455,-75.16463,-3.44416,226.26051
9589571_11668321,0.9712415,-79.9023,-3.6111574,220.1816
11668321_7351838,0.95282584,-102.388626,-4.696316,221.5162
14327105_17424720,0.96791095,-82.68947,-3.7099423,207.41922
2995858_243562,0.96682656,-82.71977,-3.7191074,201.51631
14327105_2995858,0.97088856,-76.60655,-3.507181,204.86118
13793876_11021491,0.9492566,-106.81883,-4.815506,211.40332
8544973_4590962,0.96051216,-94.529144,-4.2708273,217.93597
8544973_6404974,0.9548453,-98.78113,-4.4914412,212.50461
17557286_15077277,0.9797597,-69.41249,-3.1348505,237.84583
8366659_15077277,0.9711017,-82.57864,-3.7355125,234.23203
8022181_15667179,0.9699142,-82.23921,-3.7479515,226.30785
4455723_8022181,0.96490103,-90.43204,-4.0083117,219.775
15667179_5837762,0.92416364,-128.79346,-5.884404,209.20186
10223362_13544859,0.9833554,-62.814117,-2.8245685,234.9354
15882056_5755320,0.7401946,-223.09,-10.121905,142.14206
4987281_5969131,0.9421281,-105.21486,-4.819278,185.31984
13494889_17219679,0.7377088,-226.14346,-10.168738,143.94316
11662213_4987281,0.97978437,-60.048843,-2.7392128,180.47557
10309317_5998821,0.99757105,-24.890516,-1.1200461,252.01184
5998821_4030253,0.97627825,-74.91737,-3.4375834,243.07922
7832526_10309317,0.97987235,-69.104515,-3.1898925,244.21912
12178149_4919356,0.9029052,-144.45613,-6.6015425,201.53781
7509384_16235083,0.8444462,-177.08348,-8.008643,170.0794
16235083_4919356,0.8868127,-154.38316,-7.0217147,193.09792
2080551_15546465,0.97206396,-78.49978,-3.4985025,212.93011
16401974_5021403,0.9732636,-77.416855,-3.5246816,225.92482
16150456_15546465,0.9690502,-82.63937,-3.712882,215.29135
13469335_1137591,0.9929636,-40.737114,-1.8527117,241.84402
9570087_7212323,0.9763525,-74.52524,-3.3780096,233.85341
1277468_2415844,0.9749876,-76.97222,-3.4900012,235.54568
3166240_2415844,0.9851079,-59.43246,-2.7180502,244.09848
14113434_12577428,0.9529866,-109.39754,-4.8760467,238.95523
16627915_11113737,0.97691804,-67.93001,-3.1236439,204.14853
12384817_16088835,0.9052266,-129.07263,-5.9237022,166.2266
9840988_16088835,0.9308444,-111.65369,-5.0855126,173.20258
13047809_13278781,0.89200205,-136.25769,-6.2997236,163.78162
12106175_4470589,0.91932786,-122.60358,-5.5611014,174.39853
3457650_10350043,0.87751484,-147.64998,-6.6149387,152.25266
10005279_10350043,0.9658081,-80.538216,-3.5977364,182.79787
7259888_6523632,0.9332408,-122.16432,-5.5249166,208.1817
618372_7830185,0.97948426,-66.18411,-3.0530891,222.51288
2899900_7576452,0.9616753,-92.158195,-4.135537,214.55688
11199184_14010048,0.99728435,-24.847614,-1.1368027,224.88882
6023723_12750106,0.96051484,-92.29013,-4.2014503,212.75346
7106626_2352446,0.9489445,-103.33804,-4.6514664,201.0703
3340680_16544708,0.9924172,-39.34332,-1.7895013,201.77289
14858827_3340680,0.9853075,-54.72824,-2.4650898,201.77231
8595862_12598699,0.94468284,-108.91824,-4.993785,211.7725
1784860_13563979,0.71252936,-255.5599,-11.450415,161.9528
14623414_13563979,0.95853794,-100.71887,-4.581337,237.44809
161803_14623414,0.97987235,-70.57708,-3.2105942,246.75403
5732487_15480769,0.6695378,-258.9593,-11.852421,139.95651
15552592_5732487,0.68986505,-252.56229,-11.462108,143.71066
15480769_6247095,0.6717409,-255.95508,-11.7144785,136.80511
15310118_10675136,0.95950425,-96.97653,-4.347222,223.38583
10675136_1626719,0.9835995,-60.881374,-2.7828252,232.22008
3834522_5981204,0.9653392,-97.88126,-4.4112144,269.2757
15420911_5372024,0.96155965,-100.75949,-4.6143003,261.44165
7028004_5372024,0.9596765,-101.49217,-4.6912246,258.95532
15611317_17515599,0.9406462,-110.088005,-4.965438,194.34126
6739783_13682795,0.9660393,-82.418396,-3.7967691,201.21777
3769041_897257,0.9504964,-103.17098,-4.6615634,195.97171
15508575_12381254,0.9296082,-114.548386,-5.2371616,178.75064
15943996_2343778,0.9958839,-29.00557,-1.2928165,193.14716
2343778_15508575,0.9457983,-100.18262,-4.50953,177.00702
14274752_14408449,0.9222976,-124.03294,-5.602195,185.63412
14408449_10194321,0.9629675,-86.018814,-3.941296,201.34108
77433_2424048,0.9646848,-90.6526,-4.0791225,226.96591
8823127_5246199,0.9892921,-43.6257,-1.9352504,172.5413
77433_7210973,0.9900232,-47.5657,-2.157033,225.9513
12686174_14187697,0.97766054,-73.2092,-3.3818603,249.81647
5890133_15006311,0.9741753,-80.15854,-3.639206,246.66666
5890133_14187697,0.9739029,-80.57855,-3.6450393,245.66989
9545139_10876711,0.94571537,-106.189476,-4.8448286,204.27415
7033504_17557431,0.9226613,-108.65393,-5.0358667,148.63507
10996029_7033504,0.96498907,-78.95871,-3.5849366,171.698
2064070_14761841,0.734248,-216.79095,-9.893345,133.30107
6606479_16081060,0.8086436,-187.67209,-8.435446,149.93204
907076_4132252,0.86653185,-155.5935,-7.162891,161.06927
12621391_4489075,0.97864807,-69.42672,-3.1153688,212.84415
5597706_3659595,0.98565406,-55.546867,-2.5197792,217.32288
15805592_14509142,0.99107957,-43.102005,-1.9599208,212.24988
14934871_8188343,0.8717165,-147.87952,-6.688818,151.32603
8188343_17153614,0.9123625,-131.85439,-5.9691863,178.261
14934871_14565009,0.70609045,-217.76813,-10.0439,121.079544
16709043_7818287,0.96911186,-84.21916,-3.821683,221.54784
3432970_4121111,0.9491029,-110.15088,-4.9618506,229.51204
14458296_8024972,0.97755945,-74.025955,-3.352044,244.6391
14458296_12519443,0.9763636,-75.247345,-3.4210858,241.41884
902618_5758631,0.96447957,-91.70536,-4.0931497,224.5408
13587878_902618,0.9780034,-70.97373,-3.2313852,229.57791
13587878_6767804,0.9954872,-31.84684,-1.4387234,228.25874
14972996_12082555,0.99321175,-38.252846,-1.7357973,220.18936
9685442_5206328,0.9961888,-29.031166,-1.3201429,227.75037
17557377_5095034,0.9651549,-85.33538,-3.9125783,203.92432
5095034_14865614,0.9583541,-94.188736,-4.2616987,204.27655
4159955_9366697,0.56535375,-287.27698,-13.234541,113.79932
15449632_15281933,0.8460332,-179.00122,-8.035101,177.17978
15561060_1825800,0.9667425,-83.076904,-3.7891948,208.6821
11977947_17557492,0.9346401,-116.29718,-5.2335916,195.8382
10411336_2925361,0.96347296,-92.60279,-4.208729,233.3667
9419262_2925361,0.9709579,-83.55998,-3.7627003,236.64189
11331181_12365838,0.5166691,-291.776,-13.180389,92.84863
3527854_7405545,0.820775,-171.36337,-7.820434,139.83794
11331181_16778498,0.8712785,-155.9697,-7.1230373,167.9102
12268162_9797019,0.99330866,-37.621056,-1.6816849,203.45467
9092200_6325426,0.7549427,-216.05273,-9.773605,145.87149
9472022_11816840,0.88183767,-154.40973,-7.0698185,184.04599
2837080_15336992,0.74189055,-227.99146,-10.277285,151.79436
6353180_15336992,0.9704195,-77.7911,-3.4562268,195.35251
15821724_2837080,0.93769723,-112.79622,-5.081179,194.16359
7140439_5721016,0.94310725,-108.725235,-4.9707327,204.7451
6849009_5721016,0.94319105,-106.44662,-4.946712,202.72548
7140439_105130,0.94976044,-101.13478,-4.6196966,200.83194
1791226_13661108,0.96615416,-85.96936,-3.9239275,218.20837
13661108_14215007,0.92265224,-129.63335,-5.875715,202.66498
8248975_13661108,0.9623011,-91.85513,-4.148483,219.0842
17537479_13099250,0.9764569,-73.26628,-3.3070092,226.7102
13910296_6139101,0.96432585,-95.16493,-4.3723288,258.35297
13747588_6057219,0.90876853,-127.105255,-5.6973357,161.65125
17239248_6057219,0.8979994,-134.39217,-6.0282793,159.94272
12904126_367192,0.5503384,-301.29578,-13.503208,107.7999
11088173_7849044,0.9713176,-79.06891,-3.6519647,225.18079
14536779_16184767,0.94726723,-108.56985,-4.95065,217.42612
7882933_10368234,0.99693835,-25.447376,-1.1558377,217.05637
1735873_11685784,0.98764664,-54.04911,-2.4844592,241.57384
989683_2391465,0.9892813,-50.16039,-2.2580426,226.45853
1702628_4408061,0.95846075,-96.931175,-4.448447,227.8709
1702628_113078,0.96857935,-84.80081,-3.8653383,229.22176
4097037_12931178,0.93898696,-114.51797,-5.2348094,210.73792
14973250_14215695,0.987357,-54.0015,-2.4643352,232.5643
16418135_3517367,0.9680691,-89.476074,-4.045791,244.62616
10702266_777684,0.9669206,-90.24115,-4.1377163,236.40279
16418135_10702266,0.9845487,-62.762856,-2.836264,256.28958
15218269_12793911,0.9677392,-87.77064,-3.9478235,231.78813
15218269_6032490,0.98393756,-59.984978,-2.7542744,231.94345
17195743_15103035,0.935131,-118.20776,-5.3094645,200.23651
11246891_2489791,0.8637774,-155.47025,-6.969588,144.68202
3855725_6036729,0.8679117,-163.37094,-7.432398,181.31177
17443168_5022632,0.50171673,-306.46344,-13.785552,93.57538
3855725_17443168,0.9710254,-78.43562,-3.5278597,208.18274
8005508_12694113,0.960202,-94.263275,-4.1839485,209.8639
6134650_12694113,0.9521878,-101.414696,-4.568163,203.88245
14425363_6134650,0.96672094,-84.75961,-3.7963924,205.46317
10792692_1165070,0.9948743,-33.377174,-1.517429,221.68416
10792692_16658621,0.9924962,-40.67543,-1.8360611,220.06279
17283627_10792692,0.75166005,-222.11958,-10.047632,147.01862
6156904_1163136,0.9789081,-65.420944,-3.008199,209.60165
13966808_13975564,0.9635166,-86.96103,-3.9315438,197.34789
10409416_13975564,0.9782021,-68.05228,-3.0921128,213.58197
16608749_3677213,0.91471744,-134.9539,-6.1015596,199.35411
15422634_4383614,0.9589504,-92.90192,-4.235727,209.54083
16146484_7428077,0.95729554,-95.10205,-4.2340064,199.3092
5710101_8480868,0.79919016,-204.69064,-9.33904,160.22537
138212_13663655,0.9947454,-35.059505,-1.600303,241.56616
8480868_11413355,0.7724639,-218.50897,-9.960776,161.23535
3224732_13656791,0.97783726,-71.83527,-3.2611182,230.17223
131481_1782050,0.8934824,-156.66318,-7.141831,213.60295
16373553_4141582,0.9402149,-117.00445,-5.2273126,212.79436
17212057_12887752,0.79802346,-194.54962,-8.870285,154.75339
10360265_5831132,0.8290908,-176.13614,-7.9836674,154.56421
17212057_11874821,0.7494373,-215.32729,-9.625907,138.56282
4352502_420871,0.8211636,-194.38367,-8.75237,173.05484
15674105_14010482,0.650564,-221.87726,-10.03113,93.58631
7948416_4807594,0.75689423,-229.85623,-10.535802,172.66965
3145618_17176495,0.6548339,-271.26935,-12.205155,136.87778
4819895_5219860,0.9779673,-65.69156,-2.979818,194.53534
15405592_3416132,0.9963256,-27.323963,-1.2173573,200.29886
3930471_3416132,0.9897765,-45.094627,-2.0649927,202.17862
9497494_3476417,0.6370746,-277.6015,-12.420634,135.40219
4255590_9497494,0.9284631,-119.73721,-5.4358263,188.86642
8765735_6689749,0.932406,-122.35124,-5.553388,212.50073
2558175_528030,0.97526175,-71.17069,-3.2719045,209.46194
12958537_3555963,0.94024324,-112.049126,-5.1224465,204.86557
11557633_3555963,0.9475898,-104.892746,-4.7937393,205.03867
17411611_6855352,0.9208118,-124.947464,-5.7027893,185.32083
4517570_17536135,0.9517425,-113.09402,-5.0872345,246.24715
17282825_6870932,0.944372,-115.48007,-5.18468,228.17267
6324977_9194511,0.9263742,-119.365486,-5.4241185,183.23611
1959738_10786223,0.6900983,-250.9714,-11.424682,135.93927
11502842_11151990,0.6843842,-264.9289,-12.185546,160.79791
11151990_1729599,0.922446,-132.8999,-6.03985,215.35477
9659170_12546435,0.9402636,-106.91637,-4.85216,184.61877
2111598_7220660,0.9337959,-114.38991,-5.2112527,188.26715
7658403_12546435,0.9275661,-117.340225,-5.3511195,183.0216
6190276_12979606,0.9123016,-131.95943,-6.013964,187.39569
12979606_12074951,0.9616126,-87.048706,-3.9846592,195.49199
6190276_10644887,0.92383635,-126.3235,-5.6965904,193.91412
14811315_12966004,0.9640998,-88.28087,-4.056663,220.06519
8046868_16605116,0.97187066,-81.79372,-3.7238305,238.93787
5693699_1514375,0.9794585,-69.70491,-3.1582198,230.33447
15482392_1514375,0.9734235,-78.378815,-3.568181,228.28328
10351119_9494304,0.62948734,-267.38568,-12.1296,122.44634
10351119_13085696,0.7318364,-234.53001,-10.623973,147.20706
10172881_7930266,0.52450824,-282.45966,-12.714467,87.678955
7930266_12944148,0.98146313,-59.10884,-2.667122,187.90933
12624450_15926081,0.93835145,-109.55426,-5.0668554,192.58002
1166016_8854499,0.8292952,-177.01369,-7.9964604,149.86853
12624450_16335934,0.8958398,-144.01163,-6.5119014,176.43773
5282656_15908749,0.9469819,-94.78734,-4.314631,165.3435
5282656_4713515,0.9388877,-101.45463,-4.647987,165.7103
8246575_13050051,0.9459135,-93.59224,-4.283098,160.40886
9984348_17127465,0.96863407,-82.6766,-3.7755935,219.66003
1813777_3885856,0.9135395,-136.34431,-6.1614447,200.54305
9577155_9984348,0.9970212,-25.962282,-1.1708424,229.20969
12865295_16957210,0.9928839,-38.34726,-1.7300612,208.36884
12865295_16893769,0.9928501,-38.633522,-1.7340776,207.75087
991907_16957210,0.9879562,-50.438988,-2.290798,210.86247
4583888_9423225,0.54845035,-281.46466,-12.82618,99.878105
16750087_7972564,0.9544279,-93.01306,-4.2460103,188.0047
16750087_16285333,0.9351894,-110.7052,-4.942203,174.71616
16750087_14836018,0.9219947,-119.008545,-5.436161,174.05441
2689804_6674952,0.9980472,-21.650364,-0.9749151,242.30408
8229193_11930913,0.9640954,-92.5599,-4.159048,231.2064
7290697_8815009,0.9805565,-66.02481,-2.9774802,218.5922
12854417_2128076,0.6705159,-242.61612,-11.164211,126.64572
12854417_5409408,0.6537781,-259.56818,-11.787936,129.9498
14091333_12854417,0.75025284,-214.82584,-9.655277,139.93588
9280054_3545807,0.9873402,-48.570213,-2.2439294,187.33546
420315_13233489,0.7196881,-206.27702,-9.391324,111.93095
7508858_420315,0.95351994,-89.0469,-4.0004387,163.59465
12811127_11102675,0.970134,-67.59052,-3.0750053,153.49475
2713320_974299,0.9734465,-65.780685,-3.0168822,159.12527
2713320_7406912,0.95610917,-83.96733,-3.8547864,153.33997
16748015_893977,0.74498767,-231.36737,-10.322265,152.20697
5319054_11550190,0.9380083,-109.55016,-5.013351,183.58658
893977_3779923,0.75828344,-202.78984,-9.185026,131.43735
13461777_13739958,0.99007183,-47.916233,-2.146213,220.4054
13018149_3029250,0.9883285,-50.566734,-2.2996962,222.97955
9582030_13579390,0.99017274,-45.579094,-2.0805178,218.06471
16030930_13486831,0.99564356,-28.422531,-1.2900081,186.21786
4858373_16432227,0.9961723,-26.52129,-1.1999462,187.18605
13380313_16432227,0.99625707,-26.407265,-1.1877134,187.73782
5809307_6967180,0.9448289,-103.24303,-4.745311,191.85942
8490425_6967180,0.958569,-87.02075,-4.0434833,189.06496
12824148_6967180,0.90119445,-136.52159,-6.272698,179.42592
17557496_9500680,0.9518804,-100.60997,-4.5280285,200.62036
13019546_9500680,0.8636378,-169.21782,-7.6391964,184.5725
9500680_8932570,0.88765657,-156.4021,-7.0250816,194.90555
5431324_15742751,0.98513865,-58.88486,-2.6677082,235.61534
5431324_9240041,0.9514438,-107.83797,-4.8688807,231.85464
5064845_13308429,0.96331865,-85.49166,-3.9084,199.91919
10634841_16835038,0.9971078,-24.65281,-1.1037693,210.00089
918022_7970907,0.9706399,-77.77692,-3.568041,208.1649
11737734_9533475,0.9658927,-86.890335,-3.9518368,221.10472
16289934_151306,0.9916806,-44.045,-2.0083575,239.46007
16289934_9533475,0.9815834,-64.45625,-2.9568362,230.17142
7575730_12616697,0.9638252,-92.33464,-4.165115,231.00781
14010414_14681315,0.58641064,-284.52075,-13.037171,117.32909
15966344_5134742,0.7590623,-206.43253,-9.343787,136.43538
11774991_13090465,0.8663691,-165.92416,-7.6335735,188.78465
860589_8850279,0.98372185,-63.139206,-2.8667161,241.7427
13041391_3035571,0.98227924,-66.00273,-3.000139,239.04953
8850279_13041391,0.9844998,-61.826378,-2.7988267,241.90958
14967470_3418223,0.81422037,-189.07132,-8.44859,155.71387
4944669_3418223,0.8435639,-169.9673,-7.7298026,160.45065
3479404_3418223,0.8400955,-172.31213,-7.755709,157.75496
9060972_509582,0.98720515,-54.083313,-2.4664602,231.95778
7750054_1812810,0.9766437,-72.632065,-3.2855945,223.75995
509582_1812810,0.97678035,-72.81762,-3.2860966,226.94539
15864345_12441994,0.7773813,-205.68217,-9.35464,151.7164
8521274_9708939,0.69020236,-243.88452,-10.887247,122.18225
9708939_12441994,0.7911067,-207.35294,-9.278231,159.8486
10066622_16119670,0.9866991,-52.24521,-2.3550782,204.81978
8123260_5173266,0.9864497,-51.00341,-2.3694377,204.1712
8894367_10066622,0.9732928,-73.53904,-3.2962883,197.43661
6889739_12846578,0.8802009,-145.1417,-6.5589776,157.91432
6889739_4486875,0.86831385,-148.59521,-6.807611,151.91103
4486875_9438033,0.8071345,-181.47636,-8.295425,143.00212
11275094_6724047,0.98124415,-67.10949,-2.9834335,230.9872
11275094_10269195,0.9791233,-69.25061,-3.1811047,232.94928
15869061_6724047,0.9899951,-47.93998,-2.1846368,235.71466
15695835_17266404,0.8109644,-174.30914,-7.892786,133.07721
15695835_15632733,0.8167101,-182.53609,-8.177299,144.06523
14221438_7580300,0.83327454,-159.82791,-7.288727,129.35901
7757986_8612867,0.9518527,-101.15724,-4.6242957,211.29741
16975913_507846,0.9191063,-121.05638,-5.5273466,172.97318
13797692_507846,0.9174258,-122.97221,-5.599866,173.92743
13797692_2036871,0.87804455,-146.48761,-6.644319,158.11446
10867788_9558382,0.7922502,-195.97673,-8.869024,146.04433
8729714_2609416,0.9176785,-124.82245,-5.681143,179.89001
13101254_2609416,0.8691782,-155.12927,-7.075758,165.76538
15064654_10457077,0.95353293,-103.561005,-4.6689925,220.16466
212066_16169732,0.9667037,-88.96077,-3.9886396,222.17102
4274682_10457077,0.9451188,-111.644005,-5.0742426,219.6813
1026702_8788623,0.96559983,-89.42175,-4.035943,225.17456
5931545_8629945,0.94334376,-104.38829,-4.7964015,184.81425
5931545_16965715,0.9476779,-105.57086,-4.6996956,199.85246
12126832_6442610,0.96122473,-93.88662,-4.2954216,228.68903
6442610_123661,0.95404667,-104.25223,-4.7118726,230.07848
8569714_2156194,0.99441904,-35.87284,-1.6484447,237.21077
8569714_6992001,0.9967005,-27.21682,-1.2633107,240.26399
2156194_5858658,0.9733694,-78.152016,-3.5575936,230.90306
9664342_9099865,0.92790735,-127.401306,-5.789409,214.14345
5656179_7333777,0.8900244,-151.666,-6.7804623,185.44281
1393184_5656179,0.8758856,-165.27466,-7.357356,188.41284
3570439_3437227,0.8216714,-193.86565,-8.5883465,168.77124
2582762_16934189,0.99694145,-24.46211,-1.1103407,200.82208
8947338_4365537,0.9518023,-100.66789,-4.5063634,200.50726
16316250_10601282,0.9923642,-38.69266,-1.7855908,202.6876
4861752_2999298,0.52182215,-290.0571,-12.970448,91.37922
12180667_17112017,0.98121977,-68.7565,-3.1223645,253.62865
9314629_9454611,0.9353314,-120.57807,-5.3440437,206.08717
9454611_6047031,0.95587283,-96.71219,-4.414289,210.24124
7557199_11616202,0.9589446,-94.2255,-4.2565084,211.28448
4765722_8921935,0.9898432,-46.430706,-2.1026669,215.43466
15711788_8921935,0.95235556,-101.51545,-4.5909142,210.18628
17384615_4765722,0.8224949,-194.552,-8.6901045,174.64941
8346691_11882662,0.96481866,-89.72838,-4.098636,229.76729
1410406_5084720,0.9869133,-55.830452,-2.516453,238.0107
1807002_5084720,0.9708829,-82.70207,-3.7549834,234.58151
2956284_2068931,0.9400375,-110.023735,-5.0541573,198.66528
9173508_2068931,0.9252368,-124.53143,-5.5928984,193.1234
15398568_1861545,0.92660403,-120.05991,-5.462044,185.3295
1623313_1758184,0.71999156,-238.81087,-10.803941,149.23315
16593660_16914422,0.93681216,-116.479866,-5.2268453,202.20078
1623313_9084428,0.94483554,-107.12182,-4.8767304,202.88545
11496043_16559214,0.9622298,-85.540596,-3.962464,197.46469
